,Alice_Springs_2008,Alice_Springs_2009,Alice_Springs_2010,Alice_Springs_2011,Alice_Springs_2012,Alice_Springs_2013,Alice_Springs_2014,Alice_Springs_2015,Alice_Springs_2016,Alice_Springs_2017,Alice_Springs_2018,Alice_Springs_2019,Alice_Springs_2020,Alice_Springs_2021,Alice_Springs_2022,Alice_Springs_2023,Alice_Springs_2024,Alice_Springs_2025,Alice_Springs_2026
62_Active_Energy_Delivered_Received,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62_Current_Phase_Average,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62_Active_Power,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62_Power_Factor_Signed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62_Average_Voltage_Line_to_Neutral,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62_Frequency,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62_THD_Voltage_Average,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101_Wind_Speed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101_Weather_Temperature_Celsius,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101_Weather_Relative_Humidity,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101_Global_Horizontal_Radiation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101_Diffuse_Horizontal_Radiation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101_Wind_Direction,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101_Weather_Daily_Rainfall,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101_Radiation_Global_Tilted,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101_Radiation_Diffuse_Tilted,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
